id,x_pos,y_pos,dist0,dist1,dist2,dist3,dist4,dist5,dist6,dist7,dist8,dist9,dist10,dist11,dist12,dist13,dist14,dist15,dist16,dist17,dist18,dist19,dist20,dist21,dist22,dist23,dist24,dist25,dist26,dist27,dist28,dist29,dist30,dist31,dist32,dist33,dist34,dist35,dist36,dist37,dist38,dist39,dist40,dist41,dist42,dist43,dist44,dist45,dist46,dist47,dist48,dist49,dist50,dist51,dist52,dist53,dist54,dist55,dist56,dist57,dist58,dist59,dist60,dist61,dist62,dist63,dist64,dist65,dist66,dist67,dist68,dist69,dist70,dist71,dist72,dist73,dist74,dist75,dist76,dist77,dist78,dist79,dist80,dist81,dist82,dist83,dist84,dist85,dist86,dist87,dist88,dist89,dist90,dist91,dist92,dist93,dist94,dist95,dist96,dist97,dist98,dist99,dist100,dist101,dist102,dist103,dist104,dist105,dist106,dist107,dist108,dist109,dist110,dist111,dist112,dist113,dist114,dist115,dist116,dist117,dist118,dist119,dist120,dist121,dist122,dist123,dist124,dist125,dist126,dist127,dist128,dist129,dist130,dist131,dist132,dist133,dist134,dist135,dist136,dist137,dist138,dist139,dist140,dist141,dist142,dist143,dist144,dist145,dist146,dist147,dist148,dist149,dist150,dist151,dist152,dist153,dist154,dist155,dist156,dist157,dist158,dist159,dist160,dist161,dist162,dist163,dist164,dist165,dist166,dist167,dist168,dist169,dist170,dist171,dist172,dist173,dist174,dist175,dist176,dist177,dist178,dist179,dist180,dist181,dist182,dist183,dist184,dist185,dist186,dist187,dist188,dist189,dist190,dist191,dist192,dist193,dist194,dist195,dist196,dist197,dist198,dist199,dist200,dist201,dist202,dist203,dist204,dist205,dist206,dist207,dist208,dist209,dist210,dist211,dist212,dist213,dist214,dist215,dist216,dist217,dist218,dist219,dist220,dist221,dist222,dist223,dist224,dist225,dist226,dist227,dist228,dist229,dist230,dist231,dist232,dist233,dist234,dist235,dist236,dist237,dist238,dist239,dist240,dist241,dist242,dist243,dist244,dist245,dist246,dist247,dist248,dist249,dist250,dist251,dist252,dist253,dist254,dist255,dist256,dist257,dist258,dist259,dist260,dist261,dist262,dist263,dist264,dist265,dist266,dist267,dist268,dist269,dist270,dist271,dist272,dist273,dist274,dist275,dist276,dist277,dist278,dist279,dist280,dist281,dist282,dist283,dist284,dist285,dist286,dist287,dist288,dist289,dist290,dist291,dist292,dist293,dist294,dist295,dist296,dist297,dist298,dist299
0,363,192,0,12,26,94,80,78,100,100,45,88,7,18,94,54,20,99,74,83,15,6,35,54,9,41,54,50,95,83,84,59,71,78,1,69,90,81,73,3,76,100,10,42,56,69,72,50,63,17,9,97,93,22,95,44,94,16,15,21,16,68,42,60,25,13,90,14,5,99,76,13,76,36,83,37,83,58,91,94,77,25,45,42,18,43,94,41,68,95,19,66,78,97,54,91,35,53,55,76,20,22,55,47,11,49,23,95,15,33,79,66,30,25,23,96,82,13,36,98,30,20,41,14,61,4,8,61,41,93,71,14,6,66,61,38,76,56,64,50,13,49,32,59,51,59,83,85,62,32,40,60,61,7,82,48,35,28,15,82,62,29,51,64,92,36,5,10,16,67,71,85,97,73,0,98,22,5,82,65,50,34,11,36,57,41,91,34,70,88,81,9,70,36,25,92,81,53,40,27,86,97,49,60,2,82,28,78,57,91,66,82,31,81,67,38,66,69,74,56,21,19,45,92,17,23,7,57,51,72,66,2,84,92,38,81,44,91,58,71,65,34,38,53,90,1,90,18,85,40,38,32,70,39,20,50,6,53,92,48,9,77,72,93,89,68,45,35,80,27,9,51,80,57,100,66,88,43,5,7,72,13,28,62,17,48,75,81,81,83,83,61,54,25,28,40,47,35,88,60,51,42
1,53,192,12,0,2,35,10,68,76,34,8,32,56,77,98,76,86,65,24,49,84,70,94,99,77,17,99,14,9,53,21,85,78,59,14,37,42,69,18,58,19,65,99,69,63,24,50,68,50,43,61,75,79,39,75,28,94,28,18,13,13,35,21,32,71,15,10,100,53,83,74,37,1,21,32,19,22,98,13,50,78,42,24,99,78,54,42,50,75,80,47,56,64,84,75,5,57,36,45,50,33,5,27,8,1,31,70,29,51,80,28,58,19,73,85,9,48,41,38,58,48,7,64,68,92,8,64,43,93,80,10,5,42,11,22,63,8,21,54,9,15,26,8,76,24,43,61,53,42,9,49,60,31,41,24,66,12,39,99,9,90,98,98,41,27,32,72,20,39,96,4,88,4,90,87,25,3,15,6,61,90,30,51,99,49,0,53,67,19,5,30,99,26,53,40,86,40,30,39,54,89,12,40,58,60,33,23,65,63,29,80,39,86,46,49,30,66,78,10,8,20,8,97,41,90,85,1,44,52,26,55,92,5,28,54,1,60,20,26,18,74,73,77,27,57,45,32,1,37,90,87,77,95,67,15,47,88,97,60,26,58,97,46,25,84,17,93,4,47,7,25,76,89,51,90,95,68,33,67,93,70,62,69,77,4,87,73,98,83,87,93,92,75,4,37,63,22,72,41,42,15,66
2,73,164,26,2,0,39,81,60,74,76,68,89,16,2,91,44,89,52,41,89,24,15,67,85,73,100,2,57,13,22,20,1,61,59,33,92,73,77,53,69,32,98,36,84,34,76,20,62,72,88,69,68,13,19,75,87,62,47,11,7,34,74,83,35,57,78,35,33,57,11,22,32,83,0,51,61,3,27,28,55,33,100,32,35,15,73,98,82,48,65,47,42,31,29,67,39,22,60,56,41,56,5,57,19,82,39,86,51,62,46,93,63,37,12,17,80,54,87,14,84,26,69,39,84,15,20,37,100,34,4,52,90,90,24,8,79,28,35,99,97,13,91,41,92,41,16,61,54,13,36,10,87,97,7,82,11,90,66,64,97,20,50,62,70,14,74,43,41,6,77,31,47,63,15,91,69,91,81,72,16,93,61,16,31,85,10,70,21,41,23,14,63,22,74,40,40,79,13,20,82,41,28,73,85,25,27,22,23,66,18,88,53,63,51,26,47,36,62,73,68,95,21,39,24,59,94,0,59,61,71,3,3,1,87,86,83,90,64,57,5,16,61,47,53,42,44,50,92,90,28,100,61,14,39,33,67,24,36,27,68,31,41,64,85,71,50,75,58,26,26,62,64,29,81,73,51,54,95,1,82,18,56,85,50,95,5,26,49,1,62,57,32,61,0,23,43,46,84,23,84,57,51
3,54,171,94,35,39,0,6,33,82,83,56,69,79,67,43,81,20,56,24,38,3,35,79,40,10,54,40,37,100,26,89,58,39,44,71,46,92,20,1,28,41,37,13,97,0,87,34,45,9,98,21,62,48,90,86,18,65,43,9,64,85,47,48,56,42,63,65,65,74,96,77,19,43,78,39,53,18,9,7,84,84,56,6,78,54,0,23,89,95,56,88,80,44,13,33,34,76,0,29,99,71,61,62,73,62,3,89,32,47,87,33,19,69,11,13,100,18,9,67,99,17,49,10,24,85,12,29,45,6,86,40,57,81,20,21,39,63,69,89,70,90,43,78,84,2,87,43,13,47,10,68,13,39,41,6,35,84,27,49,75,16,1,89,11,31,59,3,26,54,94,41,82,14,42,23,62,91,80,94,24,8,39,83,47,100,26,35,86,85,30,16,54,6,93,46,21,9,35,8,11,98,75,42,20,72,7,61,10,75,57,63,28,42,21,30,75,54,29,11,34,74,72,53,90,43,88,80,30,88,93,82,67,62,72,100,45,16,77,57,96,78,37,26,89,69,58,60,52,76,6,99,32,47,96,38,25,63,38,24,61,10,98,42,37,64,28,95,82,24,14,23,80,27,83,33,70,81,12,8,65,5,28,47,76,40,93,92,13,81,0,82,25,34,26,16,49,98,23,74,10,96,32
4,141,166,80,10,81,6,0,85,12,34,57,6,89,23,63,43,18,86,75,42,79,89,65,70,94,21,92,13,69,84,25,86,79,46,57,86,83,63,1,39,84,96,28,84,94,94,38,76,89,52,6,44,0,41,100,40,62,96,18,54,11,98,41,24,15,72,9,80,61,29,65,96,1,95,21,50,19,39,90,45,47,71,72,35,40,73,16,22,76,87,95,63,36,85,1,34,58,70,16,84,95,67,1,49,57,99,90,61,40,76,94,96,54,11,72,1,37,77,53,16,45,97,61,91,52,58,77,59,92,54,85,51,53,76,28,78,41,35,71,58,63,16,80,3,12,58,4,5,31,51,69,50,63,82,0,45,62,90,69,31,99,15,36,18,58,55,17,17,75,72,94,9,86,88,92,49,20,59,67,36,12,97,80,53,33,86,74,100,55,31,68,95,51,80,27,36,0,62,34,90,12,7,14,6,91,27,98,49,51,24,92,46,38,45,76,10,18,41,4,16,48,25,36,62,100,2,48,5,46,46,48,58,16,9,75,12,11,92,20,8,26,15,91,24,82,79,99,20,1,61,4,94,61,56,8,93,7,90,24,25,65,65,68,58,43,23,96,77,40,77,6,14,74,57,35,48,13,22,52,20,58,36,66,90,100,11,22,36,39,26,71,25,37,20,92,47,12,99,42,41,7,77
5,209,89,78,68,60,33,85,0,3,14,66,34,6,61,42,52,72,38,42,52,57,79,29,25,64,24,75,67,98,90,32,87,26,3,22,48,65,21,34,87,45,23,29,42,71,70,87,23,85,100,20,4,6,66,19,88,64,90,60,34,83,26,90,82,31,11,97,8,44,48,81,49,78,1,14,95,12,4,3,20,9,70,58,27,49,0,20,14,58,85,32,68,31,1,6,28,87,33,93,33,24,41,70,40,85,97,53,2,47,33,94,75,72,72,3,42,95,47,19,90,95,8,91,91,18,43,71,80,89,55,2,65,1,89,13,80,64,72,91,80,96,8,56,7,59,45,40,1,96,76,75,13,92,69,37,28,29,88,38,62,97,77,86,44,10,85,14,25,7,41,29,27,61,49,37,90,38,6,67,63,80,32,38,86,89,63,19,62,12,82,74,7,40,51,57,89,81,17,68,5,40,91,15,19,8,17,21,52,93,38,100,64,69,7,10,93,39,98,91,24,100,83,15,10,97,25,28,18,19,83,19,39,28,2,83,92,60,10,95,79,90,21,74,90,78,58,82,41,26,6,18,47,68,36,0,29,3,61,89,46,42,10,17,18,17,66,4,87,31,67,76,16,85,69,98,75,14,49,16,17,0,72,35,66,89,94,1,88,12,67,45,9,40,52,56,79,45,93,78,83,8,20
6,109,6,100,76,74,82,12,3,0,3,29,40,87,84,15,17,98,31,44,84,79,67,14,33,84,22,1,27,19,47,70,72,48,22,39,96,19,42,68,21,61,31,16,92,54,48,28,72,3,29,95,78,51,95,64,39,43,79,7,38,24,4,86,56,77,30,66,12,9,63,54,28,15,30,82,88,31,8,5,62,95,37,73,75,62,3,69,41,95,76,66,41,74,11,19,62,93,42,62,30,98,76,4,27,72,24,54,46,22,64,89,29,78,69,19,43,0,68,52,15,86,72,86,87,53,14,76,58,10,81,53,16,43,68,33,18,53,29,41,12,51,31,33,87,90,20,52,61,35,73,47,41,39,50,93,68,45,83,77,52,0,9,30,46,66,87,20,19,74,45,83,79,86,39,28,10,64,7,68,85,6,2,70,53,17,19,81,14,93,27,17,41,11,79,11,89,2,74,70,78,44,99,55,36,15,61,85,17,90,82,22,3,64,60,76,72,78,61,48,18,35,10,43,72,22,14,30,86,55,17,4,100,83,21,28,80,15,51,15,99,6,5,22,35,97,14,76,30,65,20,59,35,46,80,54,76,53,32,67,96,71,39,29,48,55,64,94,2,60,73,46,71,93,74,46,66,22,3,97,43,52,25,11,43,43,93,53,35,25,45,77,91,86,7,8,12,16,23,25,59,47,55
7,488,23,100,34,76,83,34,14,3,0,82,77,24,33,60,74,36,64,41,89,9,91,80,18,60,47,34,24,43,63,88,46,16,97,21,64,72,59,82,86,15,40,73,86,67,68,85,62,50,74,62,80,55,72,98,58,67,8,35,38,15,19,26,85,62,55,97,35,41,85,39,98,36,68,51,45,18,76,66,90,70,17,76,27,37,0,28,78,78,34,42,39,36,80,8,3,0,96,1,5,0,56,29,37,47,19,98,22,78,76,27,50,33,37,0,89,92,28,58,75,43,93,62,46,26,25,65,72,55,52,90,49,9,57,9,69,72,10,40,12,27,80,5,35,48,19,8,27,7,32,21,3,39,63,79,54,25,99,63,47,83,30,32,47,5,42,43,96,1,67,19,8,47,6,99,96,65,21,34,94,12,15,58,69,85,77,64,2,64,60,58,42,93,71,27,64,42,60,89,58,82,3,88,21,5,95,92,82,58,50,93,41,31,89,44,5,12,82,4,19,71,59,43,92,21,92,55,35,46,48,45,58,65,98,67,73,46,33,99,71,43,0,13,51,20,74,69,20,82,3,35,75,45,10,97,65,68,21,37,62,82,44,55,76,61,53,65,79,8,16,13,23,80,34,98,97,49,17,75,30,41,3,21,56,24,28,85,59,39,50,26,82,58,1,24,26,76,18,51,45,84,12
8,495,329,45,8,68,56,57,66,29,82,0,46,40,54,6,76,27,59,41,9,23,55,65,93,13,9,8,64,22,77,55,35,14,9,23,51,16,30,99,66,71,30,86,37,79,4,76,38,64,34,8,32,71,85,87,60,9,85,1,79,25,22,14,27,5,34,46,2,99,95,66,81,24,96,51,58,77,5,36,0,46,50,77,71,85,56,11,55,34,6,32,11,40,33,87,54,27,66,47,99,45,67,33,90,1,77,85,76,42,0,62,93,58,77,80,24,10,98,71,40,58,76,28,85,49,50,85,74,100,57,4,73,17,78,16,98,54,63,40,72,87,31,90,18,65,86,68,93,50,89,25,60,92,42,46,82,12,68,39,29,67,18,90,60,37,71,11,48,6,55,8,82,100,98,96,84,19,85,33,52,32,6,72,22,26,98,100,1,69,80,21,60,67,61,83,80,48,68,18,63,77,87,20,42,45,46,82,78,77,79,28,39,1,95,6,40,8,34,99,100,15,30,87,92,27,41,19,85,40,25,66,30,3,36,32,20,9,72,68,24,52,52,99,52,69,45,94,25,23,63,74,68,63,72,55,80,56,3,9,18,84,27,53,85,87,66,7,45,62,55,2,70,98,50,76,42,24,78,4,92,36,51,76,47,20,35,54,53,78,68,72,79,37,31,71,53,47,13,16,52,59,19
9,327,350,88,32,89,69,6,34,40,77,46,0,29,91,80,51,58,14,4,53,52,92,92,47,83,89,42,69,97,93,54,10,61,70,10,28,95,48,52,53,62,82,8,67,54,68,89,51,14,88,73,97,90,49,71,83,22,3,60,89,33,23,91,43,68,53,12,67,96,19,75,14,52,24,90,83,44,62,43,45,51,9,100,92,55,2,65,15,91,98,56,68,4,80,78,15,33,23,100,61,71,21,99,29,49,41,81,30,91,59,38,13,72,56,47,21,62,68,17,31,70,25,1,75,13,42,33,32,38,0,3,32,82,66,92,88,89,78,29,63,97,60,25,19,31,34,76,70,90,63,22,0,81,10,33,42,37,72,70,86,63,29,79,57,78,61,38,59,23,70,23,86,99,83,90,25,16,29,60,17,4,42,41,15,95,50,23,79,75,3,60,70,72,79,48,70,73,45,37,39,2,37,15,46,12,50,0,90,50,67,37,86,33,95,59,78,9,43,1,19,10,9,76,16,74,14,48,50,84,60,84,41,48,44,44,21,11,84,67,52,86,97,83,57,4,87,11,78,34,24,29,4,36,45,16,65,10,43,74,59,6,99,9,96,19,20,8,72,83,68,33,33,6,43,20,7,96,14,65,58,46,49,0,29,48,43,87,83,40,81,32,25,64,20,6,64,83,55,46,62,73,24
