id,x_pos,y_pos,dist0,dist1,dist2,dist3,dist4,dist5,dist6,dist7,dist8,dist9,dist10,dist11,dist12,dist13,dist14,dist15,dist16,dist17,dist18,dist19
0,147,53,0,64,56,56,81,75,58,86,15,55,93,67,40,44,71,15,53,14,95,57
1,59,273,64,0,73,75,36,50,62,93,57,80,33,12,4,33,46,60,91,23,87,49
2,102,184,56,73,0,69,15,57,17,53,53,48,75,36,29,32,12,26,61,5,29,42
3,145,261,56,75,69,0,33,39,45,62,87,11,6,63,3,43,74,13,43,10,69,80
4,366,182,81,36,15,33,0,8,57,37,34,30,25,36,73,82,57,52,73,31,27,80
5,202,17,75,50,57,39,8,0,57,2,57,63,12,81,43,28,26,35,95,39,27,88
6,248,337,58,62,17,45,57,57,0,11,14,82,27,29,34,9,1,79,18,59,0,80
7,190,164,86,93,53,62,37,2,11,0,30,79,92,18,19,63,72,27,23,10,53,86
8,222,23,15,57,53,87,34,57,14,30,0,91,40,26,54,92,9,60,30,91,22,91
9,323,102,55,80,48,11,30,63,82,79,91,0,65,62,77,15,29,93,71,25,80,88
10,240,132,93,33,75,6,25,12,27,92,40,65,0,61,12,55,13,96,40,21,1,22
11,290,358,67,12,36,63,36,81,29,18,26,62,61,0,1,41,4,16,74,90,41,4
12,247,364,40,4,29,3,73,43,34,19,54,77,12,1,0,10,52,4,68,75,62,70
13,237,266,44,33,32,43,82,28,9,63,92,15,55,41,10,0,30,75,72,93,5,93
14,144,233,71,46,12,74,57,26,1,72,9,29,13,4,52,30,0,46,15,67,48,11
15,172,348,15,60,26,13,52,35,79,27,60,93,96,16,4,75,46,0,14,57,46,57
16,30,17,53,91,61,43,73,95,18,23,30,71,40,74,68,72,15,14,0,93,44,9
17,136,199,14,23,5,10,31,39,59,10,91,25,21,90,75,93,67,57,93,0,77,65
18,282,298,95,87,29,69,27,27,0,53,22,80,1,41,62,5,48,46,44,77,0,4
19,269,305,57,49,42,80,80,88,80,86,91,88,22,4,70,93,11,57,9,65,4,0
